query_id,doc_id,relevance
15,325273,1
18,88124,1
26,285255,1
26,350819,1
42,272709,1
42,327263,1
42,331981,1
68,19183,1
90,31793,1
109,73427,1
475,366761,1
503,367641,1
515,372909,1
549,214024,1
559,246459,1
570,363591,1
603,456440,1
604,451443,1
604,231947,1
604,261622,1
672,40966,1
672,563025,1
687,146021,1
687,268992,1
699,107092,1
715,579763,1
715,546538,1
715,187404,1
721,496225,1
744,490443,1
744,566480,1
744,78176,1
753,466718,1
753,243503,1
776,467044,1
776,583640,1
776,597247,1
776,124027,1
776,592680,1
776,10440,1
776,127263,1
776,332373,1
776,220127,1
776,597880,1
776,496899,1
776,591516,1
813,106501,1
813,436701,1
849,557186,1
853,260795,1
853,147080,1
859,449630,1
859,18749,1
864,472924,1
864,30142,1
864,211364,1
864,24890,1
864,566337,1
864,152072,1
885,337165,1
885,409184,1
904,415514,1
928,349866,1
928,11572,1
932,48722,1
932,387010,1
939,392434,1
988,226053,1
988,107688,1
1085,467737,1
1085,393710,1
1157,272425,1
1157,405777,1
1198,56718,1
1297,171761,1
1306,594206,1
1306,484437,1
1306,204075,1
1306,167684,1
1309,471630,1
1309,156162,1
1309,489401,1
1309,438869,1
1310,535651,1
1393,220022,1
1393,589398,1
1393,532932,1
1393,352838,1
1393,539133,1
1393,352640,1
1415,387165,1
1415,306144,1
1415,66246,1
1415,393953,1
1451,538005,1
1469,444589,1
1676,77245,1
1676,394871,1
1676,58937,1
1676,234436,1
1748,18001,1
1748,528564,1
1748,576295,1
1783,332314,1
1815,446928,1
1915,318266,1
1915,433801,1
1933,183612,1
1948,467509,1
2118,411061,1
2154,476632,1
2181,376631,1
2181,397329,1
2264,534454,1
2264,412819,1
2296,396853,1
2296,106424,1
2296,400009,1
2296,119298,1
2296,83330,1
2296,366594,1
2296,279897,1
2296,253563,1
2296,130850,1
2306,581889,1
2306,315875,1
2330,478514,1
2330,104221,1
2334,228403,1
2334,2304,1
2334,150650,1
2348,211867,1
2348,247486,1
2348,381757,1
2348,447619,1
2348,566573,1
2348,410166,1
2348,211622,1
2348,474234,1
2348,306430,1
2348,268261,1
2348,352271,1
2348,543714,1
2348,146441,1
2348,265874,1
2348,134864,1
2376,64263,1
2376,549833,1
2376,91545,1
2376,324411,1
2376,114417,1
2376,407455,1
2376,402249,1
2376,244961,1
2388,104988,1
2395,179066,1
2398,118730,1
2398,509391,1
2398,363810,1
2398,224654,1
2398,590489,1
2399,343489,1
2400,456470,1
2400,1198,1
2400,564271,1
2407,294327,1
2407,2064,1
2407,319734,1
2407,173929,1
2423,81106,1
2423,396127,1
2423,553288,1
2423,551954,1
2423,529444,1
2423,305946,1
2423,538023,1
2443,305579,1
2445,431685,1
2460,584337,1
2460,549180,1
2460,530037,1
2472,401125,1
2472,370334,1
2472,307315,1
2486,487791,1
2513,82344,1
2549,58451,1
2549,21103,1
2551,413832,1
2551,450742,1
2551,143100,1
2568,139047,1
2568,388798,1
2568,296769,1
2568,346042,1
2568,108739,1
2568,590082,1
2568,127353,1
2579,197052,1
2579,524471,1
2579,432808,1
2579,191977,1
2579,280838,1
2579,432020,1
2580,344118,1
2580,503934,1
2580,11988,1
2589,43961,1
2589,450577,1
2589,468144,1
2590,296528,1
2590,209493,1
2590,589625,1
2593,147343,1
2593,231614,1
2593,528132,1
2676,55666,1
2685,384532,1
2685,154113,1
2685,370300,1
2685,37900,1
2685,382005,1
2685,303293,1
2685,594182,1
2685,468923,1
2747,540571,1
2856,231727,1
2856,213331,1
2856,110848,1
2856,342212,1
2857,233732,1
2857,501384,1
2857,60175,1
2857,295864,1
2885,367360,1
2885,414692,1
2885,359579,1
2885,85229,1
2885,454810,1
2968,242124,1
2968,388646,1
3033,571430,1
3033,265866,1
3039,136804,1
3049,127974,1
3049,88477,1
3049,582864,1
3049,450808,1
3051,232063,1
3051,591940,1
3067,406156,1
3067,517299,1
3091,159936,1
3091,108302,1
3091,366448,1
3091,187739,1
3091,534099,1
3091,274870,1
3091,95778,1
3177,17208,1
3177,536120,1
3177,268289,1
3179,150219,1
3179,385073,1
3394,445971,1
3394,342258,1
3394,129319,1
3394,570664,1
3404,442110,1
3404,556976,1
3404,160301,1
3404,488574,1
3404,498834,1
3404,395483,1
3404,277583,1
3446,366685,1
3446,211839,1
3446,511386,1
3446,236899,1
3446,323498,1
3453,418626,1
3453,233635,1
3566,152286,1
3566,99943,1
3566,307424,1
3615,518379,1
3615,335991,1
3682,356161,1
3682,329662,1
3683,276975,1
3683,185909,1
3683,454501,1
3683,565016,1
3683,522713,1
3683,105973,1
3735,330041,1
3735,266900,1
3735,314478,1
3759,527966,1
3759,67167,1
3759,522358,1
3771,521712,1
3771,128471,1
3771,488948,1
3771,198349,1
3771,217683,1
3771,49601,1
3791,327432,1
3791,577201,1
3791,212222,1
3822,305907,1
3822,385090,1
3822,418900,1
3822,308837,1
3875,136315,1
3875,249859,1
4019,287991,1
4019,379948,1
4019,332749,1
4019,6881,1
4019,125477,1
4037,10275,1
4037,298099,1
4047,417840,1
4047,452175,1
4047,77652,1
4047,324779,1
4071,129875,1
4102,554734,1
4102,241101,1
4102,39115,1
4102,448699,1
4103,440270,1
4125,344648,1
4125,72046,1
4265,392163,1
4265,293111,1
4265,140947,1
4265,349710,1
4265,157553,1
4265,93881,1
4312,116647,1
4312,222639,1
4312,135845,1
4312,167950,1
4312,282435,1
4312,399149,1
4312,507284,1
4335,318583,1
4335,357013,1
4335,322246,1
4335,484148,1
4339,386531,1
4339,488615,1
4414,235522,1
4414,367137,1
4415,238234,1
4415,147646,1
4415,414188,1
4415,67676,1
4433,146181,1
4433,301580,1
4465,376575,1
4465,344041,1
4465,299242,1
4500,163048,1
4500,533623,1
4514,352485,1
4514,69485,1
4514,337764,1
4514,156211,1
4514,426270,1
4514,209804,1
4539,370879,1
4539,275925,1
4600,482415,1
4615,496427,1
4615,261900,1
4615,262934,1
4615,69523,1
4615,421365,1
4615,596196,1
4640,322314,1
4640,101369,1
4640,540539,1
4641,44594,1
4641,406219,1
4641,319954,1
4641,397358,1
4641,88327,1
4714,505057,1
4714,584450,1
4714,450819,1
4714,324833,1
4777,590710,1
4785,37517,1
4804,583651,1
4804,104395,1
4823,104726,1
4823,362919,1
4823,561929,1
4837,531841,1
4837,20958,1
4844,275257,1
4844,192193,1
4865,100485,1
4920,306815,1
4920,228341,1
4920,82294,1
4942,357685,1
4946,121690,1
4981,45218,1
4981,247894,1
4981,102684,1
4999,314898,1
4999,338803,1
4999,9938,1
4999,46211,1
5021,589285,1
5054,28119,1
5061,23747,1
5064,2003,1
5064,192811,1
5067,547301,1
5080,256055,1
5083,305509,1
5083,138845,1
5090,436493,1
5090,12988,1
5134,158523,1
5134,206727,1
5155,462892,1
5178,240261,1
5178,561056,1
5178,111815,1
5178,393833,1
5178,39819,1
5196,172128,1
5196,565745,1
5196,114829,1
5228,232451,1
5254,392851,1
5254,402466,1
5264,371720,1
5264,52579,1
5264,505694,1
5264,431814,1
5264,576564,1
5343,2860,1
5369,171339,1
5369,44223,1
5374,152688,1
5380,549254,1
5410,13975,1
5410,507813,1
5410,368802,1
5422,273906,1
5422,79517,1
5422,151973,1
5422,13513,1
5427,200603,1
5427,323284,1
5505,100387,1
5653,588247,1
5741,259081,1
5741,25943,1
5790,134794,1
5808,251824,1
5862,130209,1
5862,269898,1
5862,170141,1
5862,562511,1
5906,409907,1
5906,15172,1
5940,486243,1
5940,433827,1
5940,93936,1
6005,135415,1
6005,478457,1
6005,345895,1
6005,73310,1
6005,384626,1
6005,176498,1
6005,149500,1
6005,572272,1
6005,414288,1
6005,507544,1
6005,390689,1
6005,414534,1
6005,270856,1
6009,228983,1
6121,394460,1
6121,289231,1
6122,496166,1
6122,169824,1
6122,44344,1
6131,326094,1
6131,365263,1
6131,218088,1
6131,252534,1
6131,381720,1
6131,235452,1
6131,170204,1
6131,416679,1
6131,334111,1
6131,2460,1
6131,368806,1
6131,258465,1
6146,7403,1
6146,160125,1
6199,414693,1
6199,584273,1
6199,239214,1
6199,169921,1
6221,128698,1
6221,470716,1
6221,257248,1
6221,519675,1
6221,76414,1
6221,169688,1
6221,455614,1
6221,115717,1
6410,471723,1
6420,565568,1
6420,127452,1
6441,254279,1
6479,272008,1
6479,404339,1
6554,583203,1
6554,22469,1
6611,293679,1
6611,198764,1
6612,254454,1
6612,205522,1
6612,322900,1
6625,88892,1
6644,175035,1
6647,69790,1
6647,428017,1
6647,462265,1
6668,275902,1
6668,457294,1
6715,568526,1
6715,13732,1
6787,587120,1
6792,485973,1
6803,193012,1
6803,544053,1
6803,142726,1
6803,42620,1
6807,332567,1
6832,377853,1
6832,573874,1
6835,149305,1
6835,102243,1
6849,44601,1
6891,277217,1
6891,463837,1
6891,474351,1
6896,251704,1
6909,127012,1
6959,208331,1
6959,205010,1
6985,456436,1
7071,124230,1
7071,238629,1
7105,72652,1
7124,74615,1
7124,154725,1
7124,558617,1
7124,526110,1
7145,81458,1
7145,17923,1
7145,116865,1
7178,401329,1
7205,159966,1
7218,32290,1
7221,186578,1
7269,486696,1
7279,476834,1
7279,322456,1
7279,81483,1
7279,464502,1
7295,244749,1
7311,323768,1
7344,14368,1
7344,108403,1
7345,508821,1
7345,237645,1
7345,527080,1
7377,579557,1
7431,372921,1
7441,537418,1
7441,514500,1
7441,117576,1
7448,418150,1
7456,65120,1
7463,577951,1
7463,582005,1
7463,105634,1
7463,305287,1
7463,5152,1
7467,193312,1
7509,178303,1
7513,115372,1
7513,273861,1
7513,567362,1
7533,162668,1
7533,93853,1
7534,175821,1
7534,89714,1
7534,358125,1
7592,273947,1
7633,494727,1
7633,442048,1
7633,122996,1
7633,197839,1
7674,193318,1
7674,519390,1
7674,494295,1
7702,387277,1
7702,558924,1
7705,539263,1
7705,195191,1
7705,377429,1
7734,226070,1
7734,433905,1
7758,574327,1
7803,565926,1
7803,157504,1
7911,57711,1
7911,131996,1
7936,293767,1
7936,363043,1
7936,336541,1
8013,496159,1
8013,224231,1
8034,597351,1
8072,394244,1
8072,169062,1
8072,31465,1
8079,108040,1
8079,57138,1
8079,95278,1
8102,552707,1
8102,557877,1
8102,378173,1
8102,90294,1
8116,236482,1
8116,433032,1
8202,513258,1
8202,93971,1
8275,294867,1
8296,78675,1
8296,79998,1
8351,273142,1
8351,472516,1
8378,178684,1
8378,102237,1
8378,125298,1
8456,257853,1
8456,510875,1
8456,486333,1
8475,494655,1
8475,240562,1
8475,293320,1
8475,104793,1
8475,437427,1
8475,444107,1
8475,481728,1
8512,32811,1
8513,270573,1
8532,416307,1
8532,27401,1
8532,320101,1
8537,6574,1
8544,214003,1
8544,267113,1
8632,43497,1
8632,213976,1
8779,180571,1
8779,209730,1
8789,87349,1
8789,70853,1
8789,41912,1
8832,94689,1
8874,403025,1
8937,469888,1
8947,455398,1
8947,461592,1
8970,187583,1
8970,96121,1
9060,511093,1
9060,40447,1
9088,569461,1
9088,561377,1
9108,272021,1
9108,472585,1
9174,431652,1
9174,535317,1
9174,160218,1
9174,544576,1
9174,405217,1
9291,96926,1
9291,480315,1
9329,523913,1
9329,326991,1
9332,271766,1
9385,403755,1
9391,136515,1
9391,283202,1
9391,248158,1
9391,503637,1
9403,6666,1
9403,328086,1
9403,345199,1
9548,297290,1
9598,379311,1
9633,534418,1
9633,585447,1
9643,112208,1
9646,556191,1
9646,272784,1
9668,13260,1
9668,42438,1
9668,111768,1
9701,387141,1
9701,357739,1
9871,448890,1
9871,76562,1
9871,40051,1
9871,170594,1
9961,21311,1
10109,28314,1
10109,506374,1
10109,93231,1
10109,156029,1
10109,406974,1
10109,499849,1
10109,566591,1
10136,526115,1
10136,152316,1
10136,290930,1
10267,17652,1
10267,457108,1
10267,424511,1
10267,328556,1
10267,460398,1
10482,549072,1
10497,304284,1
10497,147765,1
10497,34913,1
10497,398622,1
10497,575729,1
10497,31483,1
10497,159880,1
10497,71898,1
10497,196423,1
10497,445230,1
10547,571306,1
10596,284235,1
10596,316838,1
10596,208070,1
10596,164008,1
10596,413041,1
10645,588607,1
10645,22221,1
10674,99857,1
10674,257241,1
10674,543589,1
10674,3095,1
10734,589970,1
10734,263481,1
10734,470289,1
10734,225718,1
10734,426278,1
10734,62882,1
10975,61022,1
